id_edificacion,tipo_resultado,area_lidar_m2,area_catastro_m2,area_discrepancia_m2,porcentaje_coincidencia,diferencia_superficies_m2,distancia_centroides_m
91,nueva_construccion,40.75,0.0,40.75,0.0,40.75,0.0
92,nueva_construccion,654.0,0.0,654.0,0.0,654.0,0.0
93,nueva_construccion,590.5,0.0,590.5,0.0,590.5,0.0
94,nueva_construccion,498.0,0.0,498.0,0.0,498.0,0.0
95,nueva_construccion,61.0,0.0,61.0,0.0,61.0,0.0
96,nueva_construccion,42.75,0.0,42.75,0.0,42.75,0.0
97,nueva_construccion,95.5,0.0,95.5,0.0,95.5,0.0
98,desplazamiento_espacial,27565.0,3745.06,23862.66,13.5,23819.94,80.13
99,nueva_construccion,93.5,0.0,93.5,0.0,93.5,0.0
100,desplazamiento_espacial,2308.5,691.85,1867.8,23.26,1616.65,15.62
101,nueva_construccion,519.0,0.0,519.0,0.0,519.0,0.0
102,nueva_construccion,62.75,0.0,62.75,0.0,62.75,0.0
103,nueva_construccion,86.75,0.0,86.75,0.0,86.75,0.0
104,nueva_construccion,100.0,0.0,100.0,0.0,100.0,0.0
105,nueva_construccion,125.25,0.0,125.25,0.0,125.25,0.0
106,desplazamiento_espacial,481.5,154.29,332.31,31.35,327.21,7.37
107,nueva_construccion,13125.75,0.0,13125.75,0.0,13125.75,0.0
108,nueva_construccion,83.75,0.0,83.75,0.0,83.75,0.0
109,nueva_construccion,58.5,0.0,58.5,0.0,58.5,0.0
110,nueva_construccion,60.0,0.0,60.0,0.0,60.0,0.0
111,desplazamiento_espacial,65.25,19.22,52.05,23.75,46.03,4.81
112,nueva_construccion,12965.75,0.0,12965.75,0.0,12965.75,0.0
113,desplazamiento_espacial,6646.75,564.96,6081.79,8.5,6081.79,51.8
114,desplazamiento_espacial,1952.5,476.7,1780.21,15.42,1475.8,8.07
115,desplazamiento_espacial,13994.25,1339.02,12700.17,9.39,12655.23,74.55
116,nueva_construccion,100.5,0.0,100.5,0.0,100.5,0.0
117,nueva_construccion,80.75,0.0,80.75,0.0,80.75,0.0
118,nueva_construccion,239.75,0.0,239.75,0.0,239.75,0.0
119,desplazamiento_espacial,13862.0,3014.93,10847.07,21.75,10847.07,62.45
120,desplazamiento_espacial,9564.25,753.89,8822.8,7.81,8810.36,15.11
121,desplazamiento_espacial,4095.75,610.19,3487.77,14.87,3485.56,36.95
122,nueva_construccion,67.25,0.0,67.25,0.0,67.25,0.0
123,nueva_construccion,94.25,0.0,94.25,0.0,94.25,0.0
124,nueva_construccion,66.0,0.0,66.0,0.0,66.0,0.0
125,nueva_construccion,70.5,0.0,70.5,0.0,70.5,0.0
126,desplazamiento_espacial,12745.75,744.94,12000.81,5.84,12000.81,13.61
127,nueva_construccion,84.5,0.0,84.5,0.0,84.5,0.0
128,nueva_construccion,110.0,0.0,110.0,0.0,110.0,0.0
129,nueva_construccion,69.75,0.0,69.75,0.0,69.75,0.0
130,cambio_superficie,123.25,86.71,41.23,67.17,36.54,0.61
131,nueva_construccion,238.75,0.0,238.75,0.0,238.75,0.0
132,nueva_construccion,131.25,0.0,131.25,0.0,131.25,0.0
133,cambio_superficie,83.0,38.19,46.68,44.38,44.81,1.77
134,nueva_construccion,66.75,0.0,66.75,0.0,66.75,0.0
135,desplazamiento_espacial,5583.25,882.6,4700.75,15.81,4700.65,47.53
136,desplazamiento_espacial,27040.0,668.98,26381.91,2.45,26371.02,87.38
137,nueva_construccion,128.75,0.0,128.75,0.0,128.75,0.0
138,desplazamiento_espacial,3161.25,592.17,2573.71,18.65,2569.08,25.26
139,nueva_construccion,69.5,0.0,69.5,0.0,69.5,0.0
140,desplazamiento_espacial,295.75,61.07,234.71,20.64,234.68,4.55
141,nueva_construccion,75.0,0.0,75.0,0.0,75.0,0.0
142,desplazamiento_espacial,4200.5,95.48,4105.02,2.27,4105.02,47.46
143,desplazamiento_espacial,587.25,53.7,533.55,9.14,533.55,3.72
144,nueva_construccion,41.75,0.0,41.75,0.0,41.75,0.0
145,nueva_construccion,49.0,0.0,49.0,0.0,49.0,0.0
146,nueva_construccion,170.25,0.0,170.25,0.0,170.25,0.0
147,nueva_construccion,104.75,0.0,104.75,0.0,104.75,0.0
148,nueva_construccion,92.5,0.0,92.5,0.0,92.5,0.0
149,nueva_construccion,45.75,0.0,45.75,0.0,45.75,0.0
150,nueva_construccion,137.5,0.0,137.5,0.0,137.5,0.0
151,desplazamiento_espacial,29346.25,1874.65,27471.64,6.39,27471.6,63.74
152,nueva_construccion,160665.75,0.0,160665.75,0.0,160665.75,0.0
153,desplazamiento_espacial,2549.5,85.01,2464.49,3.33,2464.49,28.67
154,nueva_construccion,106.5,0.0,106.5,0.0,106.5,0.0
155,desplazamiento_espacial,20062.25,801.16,19261.09,3.99,19261.09,78.18
156,desplazamiento_espacial,3073.75,1067.79,3925.18,2.68,2005.96,59.96
157,nueva_construccion,697.75,0.0,697.75,0.0,697.75,0.0
CAT_0,posible_demolicion,0.0,67.03,67.03,0.0,-67.03,0.0
CAT_1,posible_demolicion,0.0,83.26,83.26,0.0,-83.26,0.0
CAT_2,posible_demolicion,0.0,24.38,24.38,0.0,-24.38,0.0
CAT_3,posible_demolicion,0.0,136.53,136.53,0.0,-136.53,0.0
CAT_4,posible_demolicion,0.0,92.2,92.2,0.0,-92.2,0.0
CAT_5,posible_demolicion,0.0,52.1,52.1,0.0,-52.1,0.0
CAT_6,posible_demolicion,0.0,76.75,76.75,0.0,-76.75,0.0
CAT_7,posible_demolicion,0.0,20.17,20.17,0.0,-20.17,0.0
CAT_8,posible_demolicion,0.0,31.54,31.54,0.0,-31.54,0.0
CAT_9,posible_demolicion,0.0,169.8,169.8,0.0,-169.8,0.0
CAT_10,posible_demolicion,0.0,50.31,50.31,0.0,-50.31,0.0
CAT_11,posible_demolicion,0.0,175.13,175.13,0.0,-175.13,0.0
CAT_13,posible_demolicion,0.0,5.04,5.04,0.0,-5.04,0.0
CAT_14,posible_demolicion,0.0,32.78,32.78,0.0,-32.78,0.0
CAT_15,posible_demolicion,0.0,11.39,11.39,0.0,-11.39,0.0
CAT_16,posible_demolicion,0.0,243.73,243.73,0.0,-243.73,0.0
CAT_18,posible_demolicion,0.0,3.42,3.42,0.0,-3.42,0.0
CAT_19,posible_demolicion,0.0,24.42,24.42,0.0,-24.42,0.0
CAT_20,posible_demolicion,0.0,49.55,49.55,0.0,-49.55,0.0
CAT_21,posible_demolicion,0.0,138.72,138.72,0.0,-138.72,0.0
CAT_22,posible_demolicion,0.0,15.41,15.41,0.0,-15.41,0.0
CAT_23,posible_demolicion,0.0,142.66,142.66,0.0,-142.66,0.0
CAT_24,posible_demolicion,0.0,69.12,69.12,0.0,-69.12,0.0
CAT_25,posible_demolicion,0.0,75.28,75.28,0.0,-75.28,0.0
CAT_26,posible_demolicion,0.0,7.37,7.37,0.0,-7.37,0.0
CAT_27,posible_demolicion,0.0,7.16,7.16,0.0,-7.16,0.0
CAT_28,posible_demolicion,0.0,7.27,7.27,0.0,-7.27,0.0
CAT_29,posible_demolicion,0.0,20.45,20.45,0.0,-20.45,0.0
CAT_30,posible_demolicion,0.0,66.67,66.67,0.0,-66.67,0.0
CAT_31,posible_demolicion,0.0,44.07,44.07,0.0,-44.07,0.0
CAT_32,posible_demolicion,0.0,5.4,5.4,0.0,-5.4,0.0
CAT_33,posible_demolicion,0.0,120.59,120.59,0.0,-120.59,0.0
CAT_34,posible_demolicion,0.0,56.38,56.38,0.0,-56.38,0.0
CAT_36,posible_demolicion,0.0,45.02,45.02,0.0,-45.02,0.0
CAT_37,posible_demolicion,0.0,40.5,40.5,0.0,-40.5,0.0
CAT_40,posible_demolicion,0.0,43.38,43.38,0.0,-43.38,0.0
CAT_41,posible_demolicion,0.0,25.98,25.98,0.0,-25.98,0.0
CAT_42,posible_demolicion,0.0,37.97,37.97,0.0,-37.97,0.0
CAT_43,posible_demolicion,0.0,60.46,60.46,0.0,-60.46,0.0
CAT_44,posible_demolicion,0.0,120.21,120.21,0.0,-120.21,0.0
CAT_47,posible_demolicion,0.0,55.34,55.34,0.0,-55.34,0.0
CAT_48,posible_demolicion,0.0,52.21,52.21,0.0,-52.21,0.0
CAT_49,posible_demolicion,0.0,45.36,45.36,0.0,-45.36,0.0
CAT_50,posible_demolicion,0.0,190.06,190.06,0.0,-190.06,0.0
CAT_51,posible_demolicion,0.0,226.61,226.61,0.0,-226.61,0.0
CAT_52,posible_demolicion,0.0,142.13,142.13,0.0,-142.13,0.0
CAT_53,posible_demolicion,0.0,1255.01,1255.01,0.0,-1255.01,0.0
CAT_54,posible_demolicion,0.0,134.59,134.59,0.0,-134.59,0.0
CAT_55,posible_demolicion,0.0,26.55,26.55,0.0,-26.55,0.0
CAT_56,posible_demolicion,0.0,28.6,28.6,0.0,-28.6,0.0
CAT_57,posible_demolicion,0.0,107.08,107.08,0.0,-107.08,0.0
CAT_58,posible_demolicion,0.0,71.9,71.9,0.0,-71.9,0.0
CAT_59,posible_demolicion,0.0,201.12,201.12,0.0,-201.12,0.0
CAT_60,posible_demolicion,0.0,27.1,27.1,0.0,-27.1,0.0
CAT_61,posible_demolicion,0.0,63.34,63.34,0.0,-63.34,0.0
CAT_62,posible_demolicion,0.0,13.04,13.04,0.0,-13.04,0.0
CAT_63,posible_demolicion,0.0,13.09,13.09,0.0,-13.09,0.0
CAT_64,posible_demolicion,0.0,29.24,29.24,0.0,-29.24,0.0
CAT_65,posible_demolicion,0.0,75.49,75.49,0.0,-75.49,0.0
CAT_66,posible_demolicion,0.0,15.66,15.66,0.0,-15.66,0.0
CAT_67,posible_demolicion,0.0,8.01,8.01,0.0,-8.01,0.0
CAT_68,posible_demolicion,0.0,42.69,42.69,0.0,-42.69,0.0
CAT_69,posible_demolicion,0.0,12.75,12.75,0.0,-12.75,0.0
CAT_70,posible_demolicion,0.0,705.33,705.33,0.0,-705.33,0.0
CAT_71,posible_demolicion,0.0,23.35,23.35,0.0,-23.35,0.0
CAT_72,posible_demolicion,0.0,34.85,34.85,0.0,-34.85,0.0
CAT_73,posible_demolicion,0.0,26.13,26.13,0.0,-26.13,0.0
CAT_74,posible_demolicion,0.0,9.75,9.75,0.0,-9.75,0.0
CAT_75,posible_demolicion,0.0,4.96,4.96,0.0,-4.96,0.0
CAT_76,posible_demolicion,0.0,56.0,56.0,0.0,-56.0,0.0
CAT_77,posible_demolicion,0.0,6.24,6.24,0.0,-6.24,0.0
CAT_78,posible_demolicion,0.0,26.37,26.37,0.0,-26.37,0.0
CAT_79,posible_demolicion,0.0,9.75,9.75,0.0,-9.75,0.0
CAT_80,posible_demolicion,0.0,6.31,6.31,0.0,-6.31,0.0
CAT_81,posible_demolicion,0.0,32.0,32.0,0.0,-32.0,0.0
CAT_82,posible_demolicion,0.0,34.92,34.92,0.0,-34.92,0.0
CAT_83,posible_demolicion,0.0,171.44,171.44,0.0,-171.44,0.0
CAT_84,posible_demolicion,0.0,661.62,661.62,0.0,-661.62,0.0
CAT_85,posible_demolicion,0.0,39.96,39.96,0.0,-39.96,0.0
CAT_86,posible_demolicion,0.0,246.57,246.57,0.0,-246.57,0.0
CAT_87,posible_demolicion,0.0,60.73,60.73,0.0,-60.73,0.0
CAT_88,posible_demolicion,0.0,75.3,75.3,0.0,-75.3,0.0
CAT_89,posible_demolicion,0.0,23.3,23.3,0.0,-23.3,0.0
CAT_90,posible_demolicion,0.0,30.46,30.46,0.0,-30.46,0.0
